"X1","X2"
"Fabri Fibra","Tiromancino"
"Fabri Fibra","Marracash"
"Fabri Fibra","Mecna"
"Fabri Fibra","Carl Brave"
"Fabri Fibra","Gemitaiz"
"Fabri Fibra","Boomdabash"
"Fabri Fibra","Lazza"
"Fabri Fibra","Tommy Kuti"
"Fabri Fibra","Supa"
"Fabri Fibra","Claver Gold"
"Fabri Fibra","Lucariello"
"Fabri Fibra","Pezet"
"Fabri Fibra","Maruego"
"Fabri Fibra","Izi"
"Fabri Fibra","Bassi Maestro"
"Fabri Fibra","Marracash"
"Fabri Fibra","Marracash"
"Fabri Fibra","Gemitaiz"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","Giuliano Palma"
"Fabri Fibra","Nitro"
"Fabri Fibra","Gel"
"Fabri Fibra","Jake La Furia"
"Fabri Fibra","Mondo Marcio"
"Fabri Fibra","Clementino"
"Fabri Fibra","Gemitaiz"
"Fabri Fibra","Marracash"
"Fabri Fibra","Marracash"
"Fabri Fibra","Metal Carter"
"Fabri Fibra","Big Fish"
"Fabri Fibra","MadMan"
"Fabri Fibra","MadMan"
"Fabri Fibra","Nitro"
"Fabri Fibra","Club Dogo"
"Fabri Fibra","Clementino"
"Fabri Fibra","Marracash"
"Fabri Fibra","Rayden"
"Fabri Fibra","Clementino"
"Fabri Fibra","Deleterio"
"Fabri Fibra","Luca Carboni"
"Fabri Fibra","Guè"
"Fabri Fibra","Fritz Da Cat"
"Fabri Fibra","Rayden"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","Rayden"
"Fabri Fibra","Emis Killa"
"Fabri Fibra","Don Joe"
"Fabri Fibra","Pula+"
"Fabri Fibra","Duke Montana"
"Fabri Fibra","Entics"
"Fabri Fibra","Tiromancino"
"Fabri Fibra","Meddaman"
"Fabri Fibra","Dargen D'Amico"
"Fabri Fibra","Metal Carter & Cole"
"Fabri Fibra","Marracash"
"Fabri Fibra","Don Joe"
"Fabri Fibra","Supa"
"Fabri Fibra","Metal Carter"
"Fabri Fibra","DJ Myke"
"Fabri Fibra","Marracash"
"Fabri Fibra","Gianna Nannini"
"Fabri Fibra","Gianna Nannini"
"Fabri Fibra","Elisa"
"Fabri Fibra","Anti Anti"
"Fabri Fibra","Anti Anti"
"Fabri Fibra","Anti Anti"
"Fabri Fibra","Supa"
"Fabri Fibra","Microspasmi"
"Fabri Fibra","Mondo Marcio"
"Fabri Fibra","Mondo Marcio"
"Fabri Fibra","Nesli"
"Ghali","Sick Luke"
"Ghali","Rondodasosa"
"Ghali","Night Skinny"
"Ghali","Night Skinny"
"Ghali","Rhove"
"Ghali","Sick Luke"
"Ghali","Soolking"
"Ghali","Achille Lauro"
"Ghali","Achille Lauro"
"Ghali","DRD"
"Ghali","Tedua"
"Ghali","Tedua"
"Ghali","Rkomi"
"Ghali","Soolking"
"Ghali","Soolking"
"Ghali","Soolking"
"Ghali","Soprano"
"Ghali","Soprano"
"Ghali","MACHETE"
"Ghali","Rkomi"
"Ghali","Capo Plaza"
"Ghali","Soprano"
"Ghali","Capo Plaza"
"Ghali","Lacrim"
"Ghali","Charlie Charles"
"Ghali","Tedua"
"Ghali","DJ Fede"
"Ghali","DJ Fede"
"Ghali","DJ Fede"
"Bresh","Marco Mengoni"
"Bresh","TY1"
"Bresh","Sick Luke"
"Bresh","Q'Cindreix"
"Bresh","Q'Cindreix"
"Bresh","Night Skinny"
"Bresh","Camilla Magli"
"Bresh","Night Skinny"
"Bresh","J Lord"
"Bresh","Q'Cindreix"
"Bresh","Sick Luke"
"Bresh","Inoki"
"Bresh","Disme"
"Bresh","Inoki"
"Bresh","Guesan"
"Bresh","Silent Bob"
"Bresh","Disme"
"Bresh","Cromo"
"Bresh","Vaz Tè"
"Bresh","Young Slash"
"Bresh","Tedua"
"Bresh","Tedua"
"Bresh","Guesan"
"Bresh","Vaz Tè"
"Bresh","OhmyDelfo"
"Bresh","Vaz Tè"
"Bresh","Nader Shah"
"Rocco Hunt","NIA"
"Rocco Hunt","Enzo Avitabile"
"Rocco Hunt","Nino D'Angelo"
"Rocco Hunt","Clementino"
"Rocco Hunt","Nino D'Angelo"
"Rocco Hunt","Gigi D'Alessio"
"Rocco Hunt","Neffa"
"Rocco Hunt","Nicola Siciliano"
"Rocco Hunt","Gigi D'Alessio"
"Rocco Hunt","Frank Carpentieri"
"Rocco Hunt","Benji & Fede"
"Rocco Hunt","Boomdabash"
"Rocco Hunt","Rak"
"Rocco Hunt","Achille Lauro"
"Rocco Hunt","Achille Lauro"
"Rocco Hunt","Speaker Cenzou"
"Rocco Hunt","Crookers"
"Rocco Hunt","Caneda"
"Rocco Hunt","Nerone"
"Rocco Hunt","Patto"
"Rocco Hunt","J-AX"
"Rocco Hunt","99 Posse"
"Rocco Hunt","99 Posse"
"Rocco Hunt","99 Posse"
"Rocco Hunt","Clementino"
"Rocco Hunt","Don Joe"
"Rocco Hunt","Clementino"
"Rocco Hunt","lowlow"
"Rocco Hunt","Night Skinny"
"Rocco Hunt","Deborah Iurato"
"Rocco Hunt","Franco Ricciardi"
"Rocco Hunt","Franco Ricciardi"
"Rocco Hunt","Clementino"
"Rocco Hunt","Patto Mc"
"Rocco Hunt","Francesco Paura"
"Rocco Hunt","Ntò"
"Rocco Hunt","Rise Beatbox"
"Izi","Tr3dagoat"
"Izi","Sick Luke"
"Izi","SLAVOCHKA"
"Izi","Bresh"
"Izi","AW7"
"Izi","Sick Luke"
"Izi","Disme"
"Izi","Khallejero"
"Izi","Side Baby"
"Izi","Mecna"
"Izi","MACE"
"Izi","Nex Cassel"
"Izi","Margherita Vicario"
"Izi","High Klassified"
"Izi","DrefGold"
"Izi","MACE"
"Izi","Achille Lauro"
"Izi","Gemitaiz"
"Izi","Mecna"
"Izi","Guesan"
"Izi","Vaz Tè"
"Izi","Emma"
"Izi","Bresh"
"Izi","Dewa Lintang"
"Izi","Margherita Vicario"
"Izi","Jack The Smoker"
"Izi","abawuwu"
"Izi","Tedua"
"Izi","Tedua"
"Izi","Bresh"
"Izi","Emma"
"Izi","Parix Hilton"
"Izi","Lazza"
"Izi","Night Skinny"
"Izi","MACHETE"
"Izi","Ex-Otago"
"Izi","Gianni Bismark"
"Izi","Lazza"
"Izi","Gianni Bismark"
"Izi","Gianni Bismark"
"Izi","Duke Montana"
"Izi","Albe OK"
"Izi","Night Skinny"
"Izi","Charlie Charles"
"Izi","Pavel Baar"
"Izi","Ghali"
"Izi","Ghali"
"Izi","TY1"
"Izi","Le Scimmie (Vale Lambo & Lele Blade & Yung Snapp)"
"Izi","Laïoung"
"Izi","Laïoung"
"Izi","Dargen D'Amico"
"Izi","Charlie Charles"
"Izi","Tedua"
"Izi","Rkomi"
"Izi","Le Scimmie (Vale Lambo & Lele Blade & Yung Snapp)"
"Izi","Laïoung"
"Izi","Ntò"
"Izi","Rkomi"
"Izi","Nitro"
"Izi","Dark Polo Gang"
"Lele Blade","Geolier"
"Lele Blade","TY1"
"Lele Blade","SLF"
"Lele Blade","SLF"
"Lele Blade","Dj Uncino"
"Lele Blade","Mikush"
"Lele Blade","SLF"
"Lele Blade","SLF"
"Lele Blade","SLF"
"Lele Blade","SLF"
"Lele Blade","Rocco Hunt"
"Lele Blade","Gigi D'Alessio"
"Lele Blade","Baby K"
"Lele Blade","Marco Calone"
"Lele Blade","Peppe Soks"
"Lele Blade","Vale Lambo"
"Lele Blade","Gigi D'Alessio"
"Lele Blade","Geolier"
"Lele Blade","Geolier"
"Lele Blade","SLF"
"Lele Blade","Dat Boi Dee"
"Lele Blade","Giaime"
"Lele Blade","Geolier"
"Lele Blade","Night Skinny"
"Lele Blade","MV Killa"
"Lele Blade","Fuossera"
"Lele Blade","Le Scimmie (Vale Lambo & Lele Blade & Yung Snapp)"
"Lele Blade","Amill Leonardo"
"Lele Blade","Le Scimmie (Vale Lambo & Lele Blade & Yung Snapp)"
"MV Killa","TY1"
"MV Killa","SLF"
"MV Killa","Lele Blade"
"MV Killa","Dj Uncino"
"MV Killa","Mikush"
"MV Killa","Dj Jay-K"
"MV Killa","SLF"
"MV Killa","SLF"
"MV Killa","MadMan"
"MV Killa","Rocco Hunt"
"MV Killa","Gigi D'Alessio"
"MV Killa","Guè"
"MV Killa","Gigi D'Alessio"
"MV Killa","Geolier"
"MV Killa","Geolier"
"MV Killa","SLF"
"MV Killa","Vale Lambo"
"MV Killa","Geolier"
"MV Killa","Young Rame"
"MV Killa","Lele Blade"
"MV Killa","Vale Lambo"
"Ketama126","Lovegang126"
"Ketama126","TY1"
"Ketama126","Sick Luke"
"Ketama126","Lovegang126"
"Ketama126","Night Skinny"
"Ketama126","L'Elfo"
"Ketama126","Night Skinny"
"Ketama126","Niko Pandetta"
"Ketama126","Gel"
"Ketama126","2Rari"
"Ketama126","Lil Jolie"
"Ketama126","RAF Camora"
"Ketama126","Lovegang126"
"Ketama126","Gianni Bismark"
"Ketama126","Fabri Fibra"
"Ketama126","Evangelisti"
"Ketama126","Niko Pandetta"
"Ketama126","Gemello"
"Ketama126","Noyz Narcos"
"Ketama126","Tommy Toxxic"
"Ketama126","Sick Luke"
"Ketama126","Xqz"
"Ketama126","Rasty Kilo"
"Ketama126","2nd Roof"
"Ketama126","Guè"
"Ketama126","VillaBanks"
"Ketama126","VillaBanks"
"Ketama126","RAF Camora"
"Ketama126","RAF Camora"
"Ketama126","Roydee"
"Ketama126","Carl Brave"
"Ketama126","VillaBanks"
"Ketama126","RAF Camora"
"Ketama126","Side Baby"
"Ketama126","Pablo"
"Ketama126","MACE"
"Ketama126","Pablo"
"Ketama126","TY1"
"Ketama126","VillaBanks"
"Ketama126","MACE"
"Ketama126","Close Listen"
"Ketama126","Ski & Wok"
"Ketama126","Carl Brave"
"Ketama126","Pretty Solero"
"Ketama126","Joe Scacchi"
"Ketama126","Nicola Siciliano"
"Ketama126","Lil Jolie"
"Ketama126","Close Listen"
"Ketama126","Dark Polo Gang"
"Ketama126","Tama126"
"Ketama126","Bresh"
"Ketama126","Brenno Itani"
"Ketama126","Brenno Itani"
"Ketama126","Zollo"
"Ketama126","Tommy Toxxic"
"Ketama126","Tommy Toxxic"
"Ketama126","Max Pezzali"
"Ketama126","Joe Scacchi"
"Ketama126","Night Skinny"
"Ketama126","Gianni Bismark"
"Ketama126","Drone126"
"Ketama126","Gianni Bismark"
"Ketama126","Gemitaiz"
"Ketama126","Drone126"
"Ketama126","Pretty Solero"
"Ketama126","Drone126"
"Ketama126","Pretty Solero"
"Ketama126","Drone126"
"Ketama126","Yanomamyy"
"Ketama126","Yanomamyy"
"Carl Brave","Rose Villain"
"Carl Brave","Rosa Chemical"
"Carl Brave","Sick Luke"
"Carl Brave","Night Skinny"
"Carl Brave","Night Skinny"
"Carl Brave","Ketama126"
"Carl Brave","Lil Jolie"
"Carl Brave","Brugnano"
"Carl Brave","Ski & Wok"
"Carl Brave","Il Pagante"
"Carl Brave","Gemello"
"Carl Brave","Mara Sattei"
"Carl Brave","Tommy Toxxic"
"Carl Brave","Sick Luke"
"Carl Brave","Rocco Hunt"
"Carl Brave","Beba"
"Carl Brave","DJ Gengis"
"Carl Brave","MACE"
"Carl Brave","Madame"
"Carl Brave","Ernia"
"Carl Brave","Joe Scacchi"
"Carl Brave","Random"
"Carl Brave","Noemi"
"Carl Brave","Francesca Michielin"
"Carl Brave","MACE"
"Carl Brave","Random"
"Carl Brave","Guè"
"Carl Brave","Gemitaiz"
"Carl Brave","Vale Lambo"
"Carl Brave","Guè"
"Carl Brave","Random"
"Carl Brave","Random"
"Carl Brave","Francesca Michielin"
"Carl Brave","Elisa"
"Carl Brave","Emis Killa"
"Carl Brave","Elisa"
"Carl Brave","Rkomi"
"Carl Brave","Emis Killa"
"Carl Brave","Pretty Solero"
"Carl Brave","Pretty Solero"
"CoCo","Sick Luke"
"CoCo","Night Skinny"
