"X1","X2","X3","X4","X5","X6","X7"
"7zfnElBFcdWC87g9HANXQ1","Er Costa",21246,1,32,"hip-hop","artist"
"7ajcXCqrSRoMtviBDVIjqn","Young Slash",51293,1,36,"hip-hop","artist"
"3av6zIgtT4g0kjJtDybSdb","Johnny Marsiglia",31521,1,32,"hip-hop","artist"
"2K2213LQPCdQMJdpw1k65R","Joe Scacchi",9214,1,33,"hip-hop","artist"
"2aLBxDxa6Mt4i36cUY7lTL","Sangue Misto",84566,1,32,"hip-hop","artist"
"1BTYkDQkR5iMCYMCpYqRwX","Two Fingerz",75738,1,32,"hip-hop","artist"
"2Nsm5iGxbJxHoGZwrsOurY","Raige",76666,1,33,"hip-hop","artist"
"5MasrVSTkp9gZ1PRatZniJ","Aban",16812,1,31,"hip-hop","artist"
"0eQhM2KCPj2YtYQVJ3Vw1r","Kaos",28704,1,33,"hip-hop","artist"
"1GbrJTB56Xs4XQGlmVbaCf","Savage",40067,1,61,"hip-hop","artist"
"7Jvp6QTJqEQqdRXP389Pm8","DJ Fede",6239,1,31,"hip-hop","artist"
"3g1lYR9Y4xwS9tNHAS6iIU","Turi",31261,1,33,"hip-hop","artist"
"3fe7sEsyZiMKV8T2vW3EoA","Vincenzo Da Via Anfossi",12459,1,32,"hip-hop","artist"
"1Pc6myra4XAEMjHzclAtAL","Co'Sang",98551,1,30,"hip-hop","artist"
"0PTw5oqmTPecU3Rlkte197","Pathos",8766,1,30,"hip-hop","artist"
"55MOmLQuLMwnrqeo6gviQo","Dsa Commando",23018,1,30,"hip-hop","artist"
"528N5RTsLKjSxsHOB9AyWr","Tuzzo",2177,1,31,"hip-hop","artist"
"2MnHoKWg1ziqrnUe30wbaT","XVI Religion",3475,1,30,"hip-hop","artist"
"6yqDtnAXl4uu8ka0gTiUnK","Gast",11905,1,30,"hip-hop","artist"
"1WTZw0SzZvDGPqO9uYkFx7","Jangy Leeon",8287,1,33,"hip-hop","artist"
"2eOUhfCFmHm4zqfKaLNSBH","Flaminio Maphia",32223,1,31,"hip-hop","artist"
"1oZePnbK6Qe8NewfhLhJWF","Cromo",128683,1,33,"hip-hop","artist"
"56PAFc5EkAWofBQfKUNpvb","Assalti Frontali",30892,1,32,"hip-hop","artist"
"6TZ58RgmvegHCoIqqq5bSc","Pacman XII",3431,1,30,"hip-hop","artist"
"1kRbVUJRutFi2672YVtzmx","Microspasmi",29666,1,30,"hip-hop","artist"
"2mNbwJhZ2OcPkmVC5cq61V","Mr. Phil",14311,1,29,"hip-hop","artist"
"53uFx8TgRZcSMsk6vkp9oe","Canesecco",104175,1,28,"hip-hop","artist"
"2c9fnECE6Zsh01kUjJhN6U","William Pascal",3905,1,29,"hip-hop","artist"
"7ClSHMB7VFSKtsNNuS6x8u","Oro Bianco",37894,1,29,"hip-hop","artist"
"4faw6pXCi38LUMTw7xSxGJ","Lucci",14006,1,30,"hip-hop","artist"
"0cuK1vIIaeg0TtCpUovWrY","Swelto",8748,1,29,"hip-hop","artist"
"4Ttq7tTGmx28IM7sN0nEMa","Brokenspeakers",25757,1,30,"hip-hop","artist"
"3fgv6RAJdAuXpIxEFV5Yyu","Sickness El Bandog",8116,1,29,"hip-hop","artist"
"74hjtVEnADkw2SwqBuP2T8","Zampa",9738,1,29,"hip-hop","artist"
"7djBWDVQvjaDbC8rSilpLC","Armani Doc",1464,1,28,"hip-hop","artist"
"5qkSgK2UUXXa0DDBks4vqt","Carlo Corallo",4167,1,28,"hip-hop","artist"
"5jHrsaNkl9n2qBGYXGiCFM","Ape",5100,1,29,"hip-hop","artist"
"6O1mWUAaIrcMAXQAoNzpT5","Amill Leonardo",49240,1,29,"hip-hop","artist"
"3cHtXBLCuSZ6uLmxuMnFQx","DJ 2P",3504,1,27,"hip-hop","artist"
"69TId5uzfvwO2DkFfWM9sL","Hyst",11798,1,27,"hip-hop","artist"
